,date,fund,company,ticker,cusip,shares,market value($),weight(%)
26,4/16/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1824402.0,136410537.54,1.4
27,4/16/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1879806.0,136530309.78,1.4
28,4/16/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1810021.0,133543349.38,1.37
29,4/16/2021,ARKG,PERSONALIS INC,PSNL,71535D106,5643607.0,131947531.66,1.35
30,4/16/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3295172.0,130225197.44,1.33
31,4/16/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,242235.0,119756139.3,1.23
32,4/16/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,710559.0,113120992.8,1.16
33,4/16/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,6567978.0,101146861.2,1.03
34,4/16/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1340141.0,99398257.97,1.02
35,4/16/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5054383.0,97549591.9,1.0
36,4/16/2021,ARKG,VERACYTE INC,VCYT,92337F107,1707529.0,96270485.02,0.98
37,4/16/2021,ARKG,908 DEVICES INC,MASS,65443P102,1221952.0,64384650.88,0.66
38,4/16/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,2974980.0,63634822.2,0.65
39,4/16/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1517269.0,62177683.62,0.64
40,4/16/2021,ARKG,ABBVIE INC,ABBV,00287Y109,559068.0,59758778.52,0.61
41,4/16/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,4275567.0,57933932.85,0.59
42,4/16/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,2082078.0,56195285.22,0.57
43,4/16/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,1422361.0,48431392.05,0.5
44,4/16/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,1109822.0,47389399.4,0.48
45,4/16/2021,ARKG,SEER INC,SEER,81578P106,859088.0,45505891.36,0.47
46,4/16/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,4790540.0,42635806.0,0.44
47,4/16/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,7217263.0,42726196.96,0.44
48,4/16/2021,ARKG,CERUS CORP,CERS,157085101,6827869.0,43356968.15,0.44
49,4/16/2021,ARKG,PHREESIA INC,PHR,71944F106,840125.0,43199227.5,0.44
50,4/16/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,4137976.0,29627908.16,0.3
51,4/16/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,3837709.0,16348640.34,0.17
52,4/16/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,2171936.0,14139303.36,0.14
53,4/16/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,2605723.0,11308837.82,0.12
54,4/16/2021,ARKG,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,12047910.1,12047910.1,0.12
55,4/16/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,313308.0,2732045.76,0.03
